PM10Lehen,NOXLehen,RFLehen,LTLehen,O3Lehen,PM10Rud,MOXRud,RPRud,LTRud,CORud,WG,WT,GS
12.2,28.3,84,3,15,15.6,147.2,86,2.9,NaN,1.2,131,3
14.7,33.8,85,2.8,8,25.7,171.9,87,2.7,0.75,1.2,137,5
16.4,36.7,88,2.1,6,24.7,200.7,88,2.3,0.88,1.4,164,4
24,45.9,90,1.8,3,27.4,167.9,89,1.8,0.78,1.7,160,5
19.4,38,89,1.7,4,26.2,114.5,91,1.3,0.6,0.8,158,3
21.2,34.2,89,1.5,5,18.9,101.8,92,0.9,0.63,2.3,154,5
18.5,31.8,90,1.1,7,17.3,105.6,93,0.5,0.62,2.3,159,4
19.6,31.1,89,0.9,6,20.4,111.7,93,0.2,0.61,2.2,161,6
19.6,29.3,89,0.7,7,23.7,126.2,94,0,0.66,1.9,147,6
18,26,88,0.6,11,24.9,101.5,94,-0.2,0.67,2,146,7
16.8,24.2,88,0.4,12,30.1,78.7,94,-0.5,0.64,2.3,148,5
14.6,18.7,87,0.3,20,21.5,55,94,-0.6,0.47,2.6,147,6
14.6,16.9,87,0,21,19.8,41.7,93,-0.7,0.42,2.8,153,5
15.3,16.4,87,-0.1,21,17.3,54.6,93,-1,0.41,2.8,148,6
16.2,17.5,87,-0.3,19,13.9,48.3,93,-1.1,0.4,3.1,152,5
NaN,14.1,86,-0.2,25,16.3,39.1,93,-1.2,0.38,3.4,149,6
13.2,11.7,84,0,32,19.5,27.8,92,-1,0.32,3.7,140,5
11.6,8.8,83,0.1,38,11.3,28.9,90,-0.8,0.31,3.2,154,6
11.5,8,80,0.3,40,15.6,22.8,89,-1.1,0.3,3.2,160,5
13,10,81,0,35,13.2,31.8,90,-1.5,0.32,2.9,166,6
12.6,8.8,80,0.1,39,12.8,29.1,89,-1.2,0.32,3.8,160,5
11.9,7.1,78,0.2,43,15.5,38.1,86,-1,0.32,3.6,164,6
11.7,8.4,79,0,39,13.2,39.9,87,-1.3,0.29,4.2,160,5
10.3,8,78,-0.1,41,10.4,52,86,-1.4,0.3,3.7,156,6
9.8,8.5,77,0.1,41,15.1,77.6,86,-1.3,0.35,3.5,159,5
9.4,9.8,77,0.2,39,19.7,105.1,85,-0.9,0.41,4.2,148,5
9.7,NaN,75,0.4,41,24.3,99.8,82,-0.5,0.4,4.9,143,4
9.3,10.8,74,0.5,41,19.6,91.1,78,0,0.41,4.3,143,5
8.7,10.4,71,0.8,43,16.6,137.2,76,0.4,0.44,4.1,152,13
9,10.4,71,0.9,42,21.3,123.3,74,0.6,0.45,4.6,141,23
8.7,10.6,68,1.2,44,22.6,99.1,72,0.9,0.4,4.5,147,47
8.5,12.3,67,1.6,42,24.2,136.4,70,1.3,0.52,4.4,150,78
7.5,12.2,65,2,NaN,37.3,158.3,68,1.8,0.52,4.1,147,90
8.2,14.2,66,2.3,41,53,151.9,68,2.2,0.54,4.5,147,149
8.2,14.5,64,2.6,42,63.5,132.8,67,2.4,0.44,4.3,144,151
7.6,14,63,2.9,44,53.5,110.2,66,2.6,0.42,4.3,143,121
8.2,15,63,3.2,40,43.4,133.4,65,2.9,0.5,2.6,149,160
9.5,17.6,62,3.6,37,48.8,134.4,63,3.5,0.52,3.4,150,158
10.1,18.5,62,3.9,33,49.3,131.6,63,3.7,0.54,2,127,104
11,23,62,3.9,27,43.3,143.2,63,3.5,0.47,2.3,136,70
14.1,26,63,4,22,40.5,110.2,64,3.5,0.44,2.9,148,63
13.2,29.7,64,3.9,16,38,181.2,65,3.6,0.64,2,137,35
13.5,31.7,67,3.6,15,39.6,163.4,67,3.5,0.6,3.2,141,28
11.6,26.2,67,3.4,22,24.6,127.6,69,3.1,0.55,3.5,145,13
11.3,23.4,67,3.4,26,16.2,154.3,69,3.1,0.65,4.8,139,7
9.4,18,65,3.8,38,30.3,136.2,68,3.3,0.58,5,136,5
9.7,17.9,68,3.8,34,38.7,139.5,70,3.3,0.54,4.8,137,3
11.5,23.4,75,3.3,25,26.6,217,77,3.1,0.74,4.2,142,4
11.7,23.4,76,3.4,25,22.4,NaN,79,2.9,0.6,4.5,142,4
13.9,22.8,81,3.1,24,19.4,144.1,83,2.7,0.58,4.4,138,4
16.6,24,87,2.6,20,24.3,163.5,88,2.4,NaN,4.3,138,3
17.1,24.5,89,2.7,20,20.8,91.8,91,2.3,0.49,3.7,135,5
20.9,31.3,91,2.9,8,24.9,106.7,92,2.4,0.53,3.1,137,4
17.6,22.2,92,2.8,21,23.3,85.9,93,2.4,0.49,1.9,116,5
16.6,19.3,93,2.9,23,15.7,93.1,94,2.4,0.61,2.6,132,4
16.8,17.6,92,2.9,25,17.8,78.7,95,2.3,0.56,2.9,141,5
15.9,16,91,3,28,22.5,65.9,95,2.4,0.48,3.2,123,4
16.1,16.5,93,3.2,25,16.5,62.9,96,2.6,0.49,2.6,129,5
21.5,25.8,94,3.4,8,13.6,69.5,96,2.7,0.45,1.4,103,4
21.4,28.6,95,3.4,3,11.6,42.7,96,2.7,0.37,1,106,5
17.1,23.4,95,3.4,11,15.7,47.6,97,2.7,0.46,1.6,142,4
16.9,17.9,95,3.4,19,15.2,38.5,97,2.6,0.34,2,133,5
17.8,13.8,96,3.2,24,14.3,33,98,2.7,0.36,2.3,136,3
18.4,13.3,96,3.3,22,14.9,26.3,98,2.7,0.33,1.8,137,5
17.7,14,96,3.7,20,13.6,25.4,98,2.8,0.35,2,127,4
16.9,12.7,96,3.8,23,13.8,35.9,98,2.9,0.36,1.7,140,5
16.7,13.1,96,4,21,12.1,27.9,98,2.9,0.32,1.6,108,4
15.4,13.2,96,4.2,20,12.8,22.1,98,3.1,0.34,1.6,128,5
15.5,14.6,96,4.4,16,12,35.6,99,3.3,0.32,0.7,127,4
15.5,18.4,96,4.7,9,13.8,47.9,99,3.6,0.36,0.9,40,5
8.8,14.3,96,5.8,33,17,29.1,99,5.3,0.27,1.5,278,4
7.7,10.1,95,6.8,44,16.3,17.4,98,6.5,0.23,3.2,303,5
NaN,9.2,93,6.9,43,2.5,23.2,97,6.6,0.22,3.9,290,3
4.5,12.2,92,7,36,0.8,37.6,94,6.8,0.25,3,271,5
4.7,14.5,92,6.9,30,5.4,59.5,93,6.7,0.29,2.4,274,3
5.8,13.9,93,6.9,31,1,73,94,6.7,0.39,2.8,256,5
6.2,NaN,94,6.6,23,8.5,108.6,94,6.6,0.41,3,229,5
6.3,26.5,94,6.6,12,5.4,46.7,93,6.5,0.28,2.7,246,9
5.8,26.2,94,6.3,10,4.8,143.3,93,6.4,0.46,2.2,265,10
5.8,30.8,95,6.2,9,7.4,93.4,94,6.1,0.36,2.8,238,19
6.9,35.4,95,6.3,12,8.1,94,95,6.2,0.36,3.5,233,18
7.3,23.8,93,6.4,20,9.1,57.2,93,6.4,0.3,3.3,248,16
6.1,27.2,93,6.3,NaN,4.2,119.9,93,6.3,0.5,3,247,16
10.3,28.3,93,6.4,17,6.7,63.8,92,6.4,0.32,3.3,242,21
10.5,22.6,92,6.5,22,7.1,74.9,90,6.6,0.35,2.8,258,19
6.9,26.1,91,6.6,17,5.8,95.5,89,6.8,0.47,3.2,239,25
6.5,30.7,92,6.6,11,10.2,98.2,88,6.9,0.41,2.6,234,24
12.6,32.4,91,6.8,11,10.4,84.6,87,6.9,0.39,2.6,248,29
7.5,36,91,6.7,9,10.6,192.4,90,6.8,0.7,3.6,238,36
5.9,34,90,6.8,17,14.3,95.4,91,6.7,0.47,3.1,254,30
5.3,23.1,87,6.9,31,9.8,167.2,87,7.1,0.62,2.3,276,15
6.9,18.1,87,7.1,34,13.6,156.1,89,6.8,0.63,3.3,241,11
8.4,22,93,6.5,21,14.7,183.1,92,6.5,0.66,2.4,225,5
6,46.8,94,6.3,2,14.9,191.1,94,6.4,0.77,1.5,161,5
NaN,55.7,94,6.4,1,17.7,182.6,94,6.4,0.72,2.5,164,3
7.7,46.5,95,6.2,2,19.3,169.6,95,6.4,0.67,2.1,145,5
8.9,41.9,95,6.2,2,16.5,156.8,94,6.5,0.66,1.7,186,4
9,30.6,95,6.3,13,16.2,164.6,93,6.6,0.61,1.4,232,5
6.5,26,92,6.9,19,15.7,NaN,94,6.5,0.55,2.5,227,4
7,26.1,93,6.7,18,15.2,133.5,94,6.4,0.55,1.9,225,6
6.4,26.8,95,6.6,19,12.9,133.2,95,6.5,NaN,1.6,125,4
6.4,18.7,95,6.5,27,15.1,80.8,94,6.4,0.36,0.7,125,5
5.7,16.8,95,6.5,31,4.9,41.9,94,6.7,0.29,1.1,249,4
6.5,15,94,7.3,34,4.4,73.1,93,6.9,0.34,1.1,226,5
5.4,14.3,93,7.7,37,10,75.1,94,6.8,0.4,1.4,273,4
4.4,5.7,91,8.1,49,7,53.9,95,7.3,0.3,2.8,305,5
5,7.6,92,7.9,44,5.4,30.6,93,7.8,0.25,5.8,282,3
3,4.5,91,8,50,0.9,31,92,7.9,0.26,7.4,263,5
4.8,6.9,91,8,44,7.3,33.6,90,7.9,0.24,6.2,260,4
4.9,9.5,91,8,41,4.2,27.4,90,7.9,0.22,5.9,272,5
5.3,8.6,91,8,43,1.4,22,90,7.9,0.21,7.8,268,3
2.8,5.1,90,8,51,4.8,21.4,89,7.9,0.21,8.5,258,5
2.6,3.2,90,8.1,55,1.9,18.4,88,7.9,0.21,8,255,4
4,7.3,91,8,45,4.4,24.8,90,7.8,0.21,5.3,274,5
3.4,6.6,91,7.8,47,3.3,17.8,90,7.7,0.23,6.4,271,4
3.9,5.3,90,7.8,48,2.9,19,89,7.6,0.2,5.9,255,6
2.7,6.1,90,7.5,48,4.2,26.5,92,6.9,0.22,5,253,4
2.3,4.4,88,7.6,51,0.6,25.3,93,6.6,0.24,4.4,255,6
1.8,3.6,89,7.5,50,4.3,20.2,94,6.3,0.19,4,247,4
2,4.3,89,7.5,48,3.5,12.8,92,6.1,0.18,3.5,254,5
2.7,6.3,91,7.3,43,2.8,19.2,92,6,0.21,1.9,263,4
2,6.3,92,6.7,44,1.5,30.2,94,5.7,0.22,2.5,244,5
1.8,8.1,94,5.9,44,1.4,33.5,95,5.5,0.21,3.5,238,4
2,13.1,94,5.8,36,5,34.9,96,5.3,0.24,4,237,6
2.2,15.5,94,5.7,32,0.4,37.1,96,5.2,0.25,4.6,229,6
2.3,15.2,92,5.6,35,3.6,40.1,96,5.2,0.25,5.5,236,11
2.6,NaN,90,5.7,38,1,21.6,92,5.6,0.22,6,237,16
2.6,12.7,91,5.7,34,3,51.4,89,5.9,0.28,5.4,245,19
2.7,14.6,92,5.7,29,5,62.1,91,5.7,0.3,4.8,250,25
2.7,17,93,5.8,23,5.4,67.4,90,5.7,0.3,4.2,255,31
3.4,15.7,91,6.1,25,3.6,87.2,89,5.9,0.37,4,259,30
3.5,12.1,90,6.3,30,11.4,100.6,88,6.1,0.47,4.3,262,37
3.5,11.8,89,6.3,NaN,9.9,61.6,86,6.2,0.36,4.2,252,37
4.1,10.4,89,6.5,33,3.6,80.1,87,6.2,0.38,4,255,33
2.5,9.8,86,6.8,36,7.4,115.1,86,6.6,0.44,5.2,258,29
2.6,9.8,85,6.8,34,10.9,140,85,6.8,0.45,4.5,250,25
3.5,9.8,82,7,34,9.1,67.7,82,6.8,0.35,4.5,252,22
3.6,9.8,81,7,32,4.5,50.8,80,6.9,0.31,6,268,19
3.4,11.3,81,6.9,33,3.3,44.2,78,7,0.32,6.1,269,14
2.7,11.6,80,6.9,30,1.6,39.1,78,6.9,0.31,4.7,263,9
3,12.7,81,6.8,28,2.8,36.6,78,6.9,0.3,3.2,263,6
3.3,15.3,80,6.7,25,2.9,45.8,78,6.8,0.32,3.9,272,5
2.5,11.5,78,6.8,32,3.6,42,77,6.9,0.33,3.3,258,4
2.4,9.7,79,6.7,36,2.3,65.2,78,6.9,0.39,4.1,263,5
3,9,78,6.6,37,5.9,47.2,78,6.8,0.35,4.7,262,4
3.1,7.8,77,6.7,39,8.5,32.3,77,6.8,0.29,6.5,269,5
2.6,8,77,6.6,37,3.4,36.5,76,6.7,0.28,6.1,266,5
3.9,7.9,77,6.7,38,6.4,27.7,77,6.7,0.29,5.5,267,6
2,6.9,76,6.8,40,8.8,NaN,76,6.7,0.29,5.5,271,4
2.1,6.1,77,6.7,42,7.8,27.5,77,6.7,0.27,5.2,269,6
3.3,9.4,81,6.5,35,2,29.6,80,6.5,NaN,3.7,272,5
3.2,9.5,82,6.3,34,2.6,29.8,83,6.2,0.29,3.7,279,6
3,10,81,6.3,33,3.1,31.1,82,6.2,0.29,3.7,278,5
2,7.2,84,6,38,3.2,42,83,6.1,0.3,3.8,283,6
2.9,9.6,87,5.6,33,0.8,29.7,86,5.7,0.28,3.2,288,5
NaN,7.5,87,5.5,36,5.2,28.7,88,5.5,0.28,3.4,294,6
2.5,10,86,5.6,32,6.2,38.4,89,5.3,0.3,4.5,287,4
2,9.8,86,5.5,35,4.2,28.3,88,5.4,0.26,3.9,280,6
1.6,7,86,5.5,36,5.7,34.3,88,5.3,0.33,4.2,306,4
1.5,6,85,5.4,38,4.2,31.7,88,5.2,0.3,3.3,320,6
2.4,15.1,87,5,25,3.7,24,86,5,0.26,4.6,285,5
2.6,14.5,88,4.7,23,0.5,30.4,89,4.6,0.28,4.1,291,6
NaN,6.5,89,4.3,35,5,36.9,91,4.3,0.26,2.8,299,5
2.5,8.9,90,4.2,30,4.1,46,92,4.1,0.33,3.4,283,6
3,9.6,91,4.3,29,7.1,42,93,4.1,0.3,1.8,275,5
2.2,9.5,93,4.3,27,7.9,39.6,93,4.1,0.3,1.2,259,6
1.6,9.1,94,4.5,24,7,30.6,94,4,0.29,0.8,291,5
NaN,13.3,94,4.4,17,4.5,31.6,95,4.1,0.32,2,267,6
2.1,13,95,4.5,17,5.9,25.4,95,4.2,0.28,2.5,258,5
1.7,14.7,95,4.7,15,5,34.1,95,4.3,0.27,2.6,256,6
1.6,7.6,95,4.8,29,5.9,24.2,95,4.4,0.31,2,231,5
2.2,7.9,94,4.9,26,1.5,30,96,4.4,0.28,0.9,116,7
3.4,11.7,94,5.1,23,2.1,39.7,96,4.5,0.3,0.9,123,8
2.3,6,93,5.5,37,2.4,36.2,96,4.8,0.3,1,154,14
2.5,5.1,94,5.5,35,7.5,33.6,96,5.1,0.28,1.1,161,17
3.2,5.8,94,5.6,35,7,30.5,96,5.2,0.29,0.4,168,28
NaN,NaN,91,5.8,40,7,27.9,94,5.5,0.28,1.2,250,33
4.6,5.5,90,5.9,41,4.3,23.4,92,5.6,0.27,4.9,331,40
5.1,7,92,5.7,36,4.4,25.1,94,5.4,0.28,5.6,331,34
5.8,8.6,93,5.6,36,4.9,29.2,96,5.3,0.3,5,328,36
7.8,8.2,93,5.6,36,5.5,29.6,96,5.2,0.29,4.5,320,35
8.7,8.9,94,5.6,35,6.3,31.1,96,5.2,0.28,4.8,321,32
8.2,8,94,5.6,NaN,7.8,30.9,96,5.2,0.31,5,323,17
16.3,8.1,94,5.4,32,8.8,39.8,96,5.1,0.32,5.7,315,21
13.2,8.8,94,5.3,33,7.1,34.2,97,5,0.32,5.3,319,14
10.8,8.2,93,5.1,34,5.6,33.2,96,4.8,0.33,6.1,310,14
7.2,8.4,90,5.2,35,7,33.7,95,4.8,0.3,6.9,301,12
8.9,14.4,91,5.1,25,7.4,36.5,92,4.9,0.28,6.2,291,10
7.8,16.7,91,5.1,20,3.3,35.2,90,4.9,0.29,4.8,301,6
4.7,10.2,90,5,31,1.4,35.6,90,4.8,0.31,5.4,288,6
5.6,10.4,87,5.2,30,3.3,38.2,86,5.2,0.31,6,283,4
7.2,12.8,88,5.2,28,7.6,35.4,87,5.2,0.3,6.6,288,5
6.9,11.9,89,5.1,29,6.2,27.7,88,5,0.31,4.8,290,4
6.5,15.1,86,5.2,27,4.6,26,86,5.1,0.3,4.1,286,6
6.6,13.1,85,5.3,30,6.4,24.1,84,5.3,0.27,7.2,286,5
7.6,14.9,89,5.1,27,2.7,22.2,87,5.1,0.26,6.4,285,7
5.4,8.9,88,5.1,37,2.8,23.3,87,5.1,0.27,4.8,291,5
4.6,6.7,89,5.1,40,4.8,19.2,88,5,0.26,4.3,291,7
NaN,6.8,89,5.2,39,3.9,NaN,89,5,0.26,5.2,288,5
6.8,11.3,89,5.3,31,6.1,15.2,88,5.1,0.25,5.7,285,7
5.6,12.8,89,5.3,30,5.5,16.3,88,5.2,NaN,4.6,281,5
3.6,7.1,86,5.5,40,1.3,14.8,84,5.5,0.25,3.9,281,6
5.3,6.6,87,5.6,41,5.1,14.2,85,5.6,0.24,5,277,5
7.5,9.8,88,5.6,36,2,9.8,87,5.6,0.22,5.9,281,7
7.9,9,88,5.6,39,3.3,9.6,86,5.6,0.22,5.7,273,5
9.5,10.7,86,5.8,37,5.4,8.8,85,5.8,0.23,6.4,272,6
7,5.3,84,6,47,6.5,7,83,6,0.22,6.6,274,5
6,4.7,83,6.2,48,3.4,5.3,81,6.2,0.21,5.6,277,6
5.7,5.3,82,6.3,49,4.7,5.1,80,6.3,0.21,6.9,283,5
6.3,6.9,81,6.4,45,2.3,5.2,80,6.3,0.21,7.5,288,6
5.8,6.7,82,6.3,47,3,6,81,6.1,0.21,6.2,278,5
5.2,5.5,85,6,47,0.7,6.1,84,5.9,0.21,4.6,273,6
3.8,5.1,85,5.9,46,2.4,5.6,84,5.9,0.21,3.7,273,5
3.3,5.3,85,5.8,45,1.4,9,84,5.8,0.22,3.7,281,6
3,5.4,85,5.9,44,2.8,22.1,83,5.9,0.23,3.9,280,4
3.3,6.2,85,6,44,3.3,21.4,84,6,0.25,3.8,277,6
NaN,7.9,88,5.7,40,1.8,29.3,87,5.7,0.25,3.6,273,5
4.7,11.2,88,5.8,35,3.1,52.1,88,5.7,0.3,3.1,281,5
7.7,16.3,90,5.7,26,8.7,65.6,88,5.7,0.34,2.6,275,4
7.2,19.6,93,5.5,22,7.6,116.4,92,5.5,0.47,1.9,270,5
7.1,24.4,94,5.4,14,10.3,97.9,94,5.3,0.43,1.9,276,10
6.6,23.5,94,5.5,16,11.8,90.9,95,5.3,0.41,1.8,270,19
7.3,18.7,94,5.6,24,11.8,169.1,95,5.3,0.54,1.9,274,19
8.4,22,92,5.7,20,13.1,97.3,95,5.3,0.41,2.2,280,27
12.5,22.6,92,5.8,19,7.7,70.2,94,5.6,0.32,2.1,267,26
10.1,19.9,91,5.9,26,8.7,63.6,92,5.6,0.33,2.1,263,39
8.4,NaN,90,5.9,25,7.3,66.9,90,5.8,0.33,2.1,267,42
9.1,17.2,90,5.8,31,12.4,58.4,88,5.8,0.33,4.2,304,38
10.4,15.4,91,5.6,37,10.7,55.8,91,5.5,0.32,3.4,317,45
NaN,15.4,89,5.5,40,11.1,46.3,90,5.2,0.31,4.9,313,42
14,17.6,90,5.4,41,8.4,50.2,90,5.2,0.33,3.2,306,67
13.8,18.6,89,5.6,37,10.5,54.6,89,5.4,0.33,5.1,306,58
10.9,16.1,89,5.5,NaN,13,55.1,88,5.4,0.31,4.8,295,50
10.1,17.5,87,5.7,42,11.3,61.8,85,5.5,0.37,2.7,296,57
10.1,19.7,86,5.9,39,12.8,60.7,84,5.7,0.38,4,298,42
13,21.8,87,5.9,31,12.9,70.4,85,5.7,0.35,3.1,315,25
15.7,22.3,87,5.8,23,13.3,76.5,85,5.8,0.39,2,304,11
19.6,34.2,89,5.8,5,15,141.8,86,5.8,0.64,0.2,236,6
17.8,34.1,90,5.6,2,24.7,192.1,88,5.7,0.88,1.1,256,4
21,43.4,91,5.7,2,29.3,142.5,89,5.5,0.72,1.2,296,5
22.3,66.1,91,5.5,2,24.6,154,89,5.4,0.72,0.8,66,4
25.7,57.7,89,5.5,2,24.3,224.6,88,5.6,1.02,0.7,160,5
23.8,51.8,90,5.4,1,27.4,192.1,89,5.5,0.89,1.1,181,4
24.2,55,90,5.4,2,32.4,159.9,89,5.2,0.81,1.8,166,5
17,42.3,89,5.1,3,26.7,131.3,90,4.9,0.64,1.1,122,5
17.3,37.3,90,4.8,3,22.5,119.5,91,4.7,0.62,0.7,173,6
16.8,34,90,4.9,6,20.5,106.9,91,4.6,0.58,0.3,182,5
18.1,28.3,90,4.7,10,24.9,117.6,90,4.5,0.55,1,180,6
19.1,27,90,4.6,10,24.5,NaN,91,4.3,0.65,0.9,121,5
22.2,29.5,91,4.6,4,27.5,85.7,92,4.4,0.6,0.5,117,6
22,40.9,92,4.5,2,23.1,77.2,92,4.3,NaN,1.2,162,5
18.2,21.7,90,4.4,16,15.4,54.2,92,4.1,0.56,0.8,229,6
17.4,20,91,4.2,13,17.8,49.7,92,3.8,0.47,1,137,4
17.9,20.9,92,4.1,10,23.2,38.6,93,3.7,0.46,1,150,5
15.9,16,91,4.1,16,17.8,33.3,94,3.6,0.39,1.3,113,4
